full_date,date,weekday,time,mood,activities,note_title,note
2023-11-20,Nov 20,Monday,10:22 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | chest / core | gym | no sugary treats | prayer | Scripture | Hallow | reading | gaming | Watched Sports,"","Internal debate about slacking off at work when work is done | enjoyed working on future stuff more than not working | moment waiting for bus just listening to the cars was really peaceful * | Fortnite with Jude and Jacob | watched Chiefs Eagles games and dropped passes cost Chiefs | I’m done watching football for now because it makes me so angry "
2023-11-19,Nov 19,Sunday,9:10 PM,Solid,friends | Milwuakee | < 4 Hours Phone Time | lotion | floss | chest / core | mountain dew | prayer | Scripture | Hallow | reading | gaming,"","Finished first draft of personal statement essay | vc with Cameron for a bit | reading and audiobook | finished 12 Rules For Life |  not suffering for anything right now"
2023-11-18,Nov 18,Saturday,9:59 PM,good,friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | chest / core | Volleyball | mountain dew | Dinner with friends  | church | prayer | Clean Mind Day and Night | Scripture | Hallow | reading,"","Started essay about vocation | thinking about what injustice is and all gendered schools | reading and audiobooks | mass at St.Stans with Joe was really good | volleyball with Gregory and group*"
2023-11-17,Nov 17,Friday,11:14 PM,okay,work | friends | movie | Milwuakee | < 15 mins on Instagram | lotion | floss | Blood Donation | mountain dew | prayer | Spiritual Direction | Conversation with God | Hallow | reading | gaming,"","Spirtual direction with Romano | donated blood | Fortnite with Zach | Spiderman into spider verse was so cringe and bad "
2023-11-16,Nov 16,Thursday,10:21 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | lotion | floss | run | no sugary treats | prayer | Church group | Clean Mind Day and Night | Reflection | Hallow | melatonin  | reading,"","Ran almost 4 miles | class at Haggerty did a Beholding | Steves father in law died so spiritual direction was canceled | registered for Wisconsin license at DMV | talked to Nancy during and after class | conversation with Gabriella at the Brew which was good | enjoyed rcia | Steve told me I was doing a good job leading small groups | “lead my church” still echoing in me "
2023-11-15,Nov 15,Wednesday,9:32 PM,good,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | no sugary treats | Dinner with friends  | alcohol | prayer | Church group | Clean Mind Day and Night | Conversation with God | Hallow | ?,"","Work was decent and enjoyed prayer breaks | texted Sebastian about bishop Strickland | in prayer during work God told me “Lead My Church” | I asked if it was from God for the phrase to keep staying with me and it did through whole day | happy hour with coworkers was really good | got a free shot with Angie from group of friendly guys | Ignite was Dr.Metz and it was good | was still buzzed and stayed around after talking with Sydney and other friends which was really fun"
2023-11-14,Nov 14,Tuesday,10:13 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | lotion | floss | run | no sugary treats | prayer | Church group | Clean Mind Day and Night | Scripture | Hallow | reading | gaming,"","3 mile run at 6:30 pace | story of a soul is good so far | rcia with Nikki and Steve | praying about Humility | wrestling with Strickland’s removal | Fortnite with Zach and Jacob | worried about if I have feelings for Tessa"
2023-11-13,Nov 13,Monday,9:52 PM,okay,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | biking | chest / core | gym | Log Rolling | no sugary treats | prayer | Clean Mind Day and Night | Scripture | Hallow | reading | gaming,"","Tired and a little off at work | times of frustration | lunch was really good | biked to work and briefly talked to a guy on the street about scooters | humility quotes | log rolling"
2023-11-12,Nov 12,Sunday,9:21 PM,okay,Milwuakee | < 15 mins on Instagram | lotion | floss | chest / core | no sugary treats | prayer | Clean Mind Day and Night | Conversation with God | Hallow | melatonin  | reading | Watched Sports,"","Anger and feelings of aggression from watching football | went to Liquor Store and Library to reset | phone call with Katie | finished Michael Knowles book | messaging Joey"
2023-11-11,Nov 11,Saturday,8:00 PM,Solid,friends | Ventura | Milwuakee | volunteer | < 15 mins on Instagram | lotion | floss | biking | mountain dew | alcohol | church | prayer | Clean Mind Day and Night | Scripture | Hallow | reading | gaming | tv show,"","Volunteering with Danny | bike ride for new Mountain Dew | fortnite with Zach Jacob and Adam | really good mass | call with Jude and Tessa | fun until it got too weird with sexual comments "
2023-11-10,Nov 10,Friday,8:00 PM,good,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | Pickle Ball | no sugary treats | alcohol | prayer | Clean Mind Day and Night | Scripture | Hallow | reading | gaming | tv show,"","Work | singles pickleball with Greg | spending more time in prayer | went over to Danny’s to watch MU basketball | most alcohol I’ve ever drank | talked with Danny about Israel Hammas, Marriage, the Catholic Church while intoxicated | best alcohol experience ever "
2023-11-09,Nov 9,Thursday,9:39 PM,okay,school | Milwuakee | < 15 mins on Instagram | lotion | floss | chest / core | run | gym | no sugary treats | prayer | Church group | Scripture | Hallow | reading | gaming,"","Straz gym | group project meeting | in core we had a feelings session about Israel Palestine | set up kindle library | RCIA "
2023-11-08,Nov 8,Wednesday,9:29 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | no sugary treats | Dinner with friends  | alcohol | prayer | Church group | Clean Mind Day and Night | Conversation with God | Hallow | reading,"","Dream about Sara | worked 9 hours | stayed extra long working on ingestion with Ritesh | went to happy hour with Ritesh for a bit and it was good | Ignite | enjoying my books"
2023-11-07,Nov 7,Tuesday,9:21 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | lotion | floss | run | no sugary treats | prayer | Church group | Scripture | Hallow | reading | gaming,"","Short run because of knees | class canceled | RCIA with Nikki and Steve | core class we tried finding compatible partners | asked Jude if we wanted to do covenant eyes | have a group for regression class | call with Grandma | finished a Thrawn book | like reading/listening to 3 books at once | couldn’t sleep thinking about parents dying | first time I’ve missed my family "
2023-11-06,Nov 6,Monday,10:24 PM,okay,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | biking | Partial Dew | prayer | Clean Mind Day and Night | Scripture | Hallow | reading | Watched Sports,"","Biked to work | just worked on attestation workflow all day | prayer break | Mr Beast building wells in Africa is inspirational | Marquette basketball game | went ok but probably my last one | had a little isolation tendency’s going on "
2023-11-05,Nov 5,Sunday,9:12 PM,okay,Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | biking | chest / core | no sugary treats | church | prayer | Scripture | reading | gaming | Watched Sports,"","8 am mass alone | bike ride to Trader Joe’s | watched some football but took breaks | puzzle for a bit while listening to Thrawn | reading Knowles book | new chicken crock pot recipe "
2023-11-04,Nov 4,Saturday,8:00 PM,good,friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | Log Rolling | mountain dew | alcohol | prayer | retreat | Clean Mind Day and Night | Scripture | Hallow | gaming,"","RCIA retreat | small group went well | miss Katie’s diner for lunch | 4 year MTD Sat anniversary | log rolling tournament took forget | beat Lacrosse girl to win tournament | fortnite with Jude Jacob and Dylan"
2023-11-03,Nov 3,Friday,9:25 PM,okay,work | friends | Milwuakee | lotion | floss | chest / core | church | prayer | Scripture | Hallow | melatonin  | reading | gaming,"","Working on pjs is nice | mass with Gabby and she gave me sandwhich | struggles with # which makes me unhappy | hot chocolate | went to campus ministry and edited essay while chatting with Sebastian and a few other folks * | call with Sherry | mix of different audio books, reading, puzzle | won first Fortnite game back with OG map"
2023-11-02,Nov 2,Thursday,10:18 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | run | Dinner with friends  | prayer | Spiritual Direction | Church group | Reflection | reading | gaming | Watched Sports,"","800 time trial | lungs hurt from cold | spiritual direction with Steve | wrote essay in library | rcia there was new people | hung out with Sebastián Gabby and Tess *"
2023-11-01,Nov 1,Wednesday,9:34 PM,okay,work | friends | Milwuakee | < 4 Hours Phone Time | lotion | floss | chest / core | gym | no sugary treats | Dinner with friends  | church | prayer | Scripture | gaming,"","Worked with Kevin a lot | all saints mass at amu | there were so many of my friends there | dinner afterwards | Instagram causing trouble with #"
2023-10-31,Oct 31,Tuesday,9:35 PM,okay,school | Milwuakee | < 15 mins on Instagram | lotion | floss | run | no sugary treats | prayer | Church group | Clean Mind Day and Night | Scripture | Hallow | reading | gaming,"","Ran in snow * | Prayer with Isiah was good | hung out in campus ministry | rcia with Steve and Nicki | sent email to teacher why we shouldn’t talk about Israel Hammas conflict | last retreat meeting | ordered chipotle | cracks in clean mind "
2023-10-30,Oct 30,Monday,9:51 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | chest / core | gym | mountain dew | Dinner with friends  | prayer | Clean Mind Day and Night | Scripture | Hallow | reading,"","Took a couple breaks at work to pray | this may be a good sustainable habit | data science club at Annex talked to Jensen *| club could be about data volunteering and I want to be involved | led log rolling practice | this month I feel like I’ve taken a jump in maturity and leadership "
2023-10-29,Oct 29,Sunday,9:07 PM,okay,friends | Milwuakee | < 15 mins on Instagram | lotion | floss | church | prayer | Clean Mind Day and Night | Hallow | reading | Watched Sports,"","8 am mass alone | roasted Jude with Aquinas about private property | ILR retreat brunch at Gabriella’s apt | didn’t like it to much because Brennan kept making me cringe | watched Michael Knowles and the Witch and that made me realize how serious spiritual warfare is | read the transgender framework Steve sent me and watched PragerU de transition documentary | 12 Rules for Life: how we act depends on what we aim at "
2023-10-28,Oct 28,Saturday,9:40 PM,Solid,friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | Other Sports | mountain dew | Dinner with friends  | alcohol | prayer | retreat | Clean Mind Day and Night | Conversation with God,"","Retreat | feel more comfortable leading | want to direct a retreat next semester | carried in Capture the Flag | like leading more than participating in retreat | was at Sebastián’s party for a little then left with Will"
2023-10-27,Oct 27,Friday,11:49 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | Dinner with friends  | prayer | retreat | Clean Mind Day and Night | Scripture | melatonin  | gaming,"","Work was busy | Halloween trivia; got two questions right | helped out Pablo | Finding God in All Things Retreat | felt very extroverted for most of the time | tree cracked and almost fell on us during scavenger hunt "
2023-10-26,Oct 26,Thursday,9:24 PM,Solid,school | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | run | no sugary treats | prayer | Spiritual Direction | Church group | Clean Mind Day and Night | Conversation with God | reading,"","Ran 3 miles | Spirtual direction with Steve was good | wrote reflection and kept listening to Bug Eyes | people have such bad opinions in core class | rcia | going to meet on Tuesdays for rcia | friends canceled to hang out tonight "
2023-10-25,Oct 25,Wednesday,9:31 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | chest / core | gym | no sugary treats | prayer | Church group | Clean Mind Day and Night | Reflection | Adoration | ? | gaming | tv show,"","Presentation at work went decent | been working with Ritesh a lot which has been good | talked with Tessa about gay and trans issues and we agreed on a lot | Tessa was driving to give her dog away to a shelter | Ignite adoration service was very well planned and I did my reflection prayer | chosen episode of Jesus doing miracles "
2023-10-24,Oct 24,Tuesday,10:30 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | run | no sugary treats | prayer | Confession | Church group | Clean Mind Day and Night | Scripture | tv show,"","5:17 mile | ditched Theo class and worked on essay prep which went really well | bishop barren video on parable of talents | putting phone in backpack and not using it as much | confession | efficient day not much wasted time | retreat planning | worked on clues for scavenger hunt after which was tiring "
2023-10-23,Oct 23,Monday,10:08 PM,Solid,work | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | biking | chest / core | gym | no sugary treats | prayer | Clean Mind Day and Night | Scripture | Hallow | reading | gaming,"","New interests and habits going strong | fun bike ride to work | busy at work with lots to do | good lunch with Pram Ritesh and Angie | log rolling practice was swim games "
2023-10-22,Oct 22,Sunday,8:19 PM,Solid,friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | chest / core | no sugary treats | alcohol | prayer | Clean Mind Day and Night | Scripture | Hallow | reading | Watched Sports,"","Stand tall and keep your shoulders back | watched Julia videos and was thinking about marriage more | want to focus on speaking my mind more | academic brain mode still | watched football a lot | texted Katie about baptism | vc with Cameron | read some RCIA readings | best way to prepare myself for marriage is cleaning up mind and avoiding #"
2023-10-21,Oct 21,Saturday,11:40 PM,Solid,friends | movie | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | biking | mountain dew | church | prayer | Scripture | Hallow | gaming,"","Slept 11 hours | Bike ride to Bayshore mall | listening to 12 Rules for Life | I do enjoy learning | have a new puzzle | vc and 2k with Cameron | mass | vc with Jude | watched Old Dads movie "
2023-10-20,Oct 20,Friday,7:25 PM,Solid,friends | movie | Milwuakee | < 15 mins on Instagram | lotion | floss | no sugary treats | alcohol | prayer | Spiritual Direction | Clean Mind Day and Night | Hallow,"","Spiritual direction with Romano and I’m now done with the spiritual exercises | Pumpkin festival with Tess Will Matt Sebastián and Marco | it was fun but more of a kids thing | finished puzzle I was working on | watched smile"
2023-10-19,Oct 19,Thursday,10:33 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | lotion | floss | run | prayer | Clean Mind Day and Night | Spirtual Exercises | melatonin  | gaming,"","Sherry impressed with what I found on Collibra data marketplace | ran 400 repeats | lungs hurt afterward | got school work done | really like Michael Knowles show | purple door ice cream with Sebastián Gabby and Tess"
2023-10-18,Oct 18,Wednesday,10:40 PM,Solid,work | Milwuakee | < 4 Hours Phone Time | lotion | floss | chest / core | gym | alcohol | prayer | Spirtual Exercises | Hallow | gaming,"","Work was good today | really appreciate working at dream job | living the dream | metro market and walked by The Lodgewood apartments and it looked really nice | civ 6 not as fun now | worked on puzzle while listening to Thron *"
2023-10-17,Oct 17,Tuesday,10:17 PM,Solid,school | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | run | no sugary treats | prayer | Church group | Clean Mind Day and Night | Spirtual Exercises | gaming,"","3 mile run | investing more into Daylio goals/ self improvement | bored in class | school feels almost over | planning pumpkin fest trip | shaved off goatee | disagreement dialogue for core class | failed regression test but don’t care | civ 6 | retreat planning went well | puzzle while listening to Thrawn"
2023-10-16,Oct 16,Monday,11:07 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | prayer | Spirtual Exercises | gaming,"","Team building color event at Franklin | work was good | civ 6 | log rolling practice was fine"
2023-10-15,Oct 15,Sunday,9:48 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | biking | chest / core | gym | prayer | Clean Mind Day and Night | Spirtual Exercises | melatonin  | gaming | tv show | Watched Sports,"","Gym at NM | watched football alone for first slate of games | football with Cameron for a bit | played civ 6 while watching | puzzle while finishing 2nd Thron book | pulled pork crock pot meal"
2023-10-14,Oct 14,Saturday,10:57 PM,Solid,friends | # | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | Dinner with friends  | church | prayer | Church group | Spirtual Exercises | gaming,"","Studying for regression test and it sucks | # | civ 6 really fun | Jesuit event at Arupe House * | hung out with Sebastián and Will | a bunch of Jesuits I knew there | phone call with Dad was good | shaved chest hair"
2023-10-13,Oct 13,Friday,11:15 PM,Solid,work | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | chest / core | mountain dew | alcohol | church | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming | tv show,"","Worked on migrations | mass with Gabby | want to shave chest and arm pit hair | studied for regression test a while with Chat GPT | puzzle while listening to Knowles and Thrawn | Prager video saying we have an obligation to act happy | played some Civ"
2023-10-12,Oct 12,Thursday,10:48 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 7 Hours | lotion | floss | run | prayer | Church group | Spirtual Exercises | Watched Sports,"","Only went to one class | wrote retreat talk | arguing with Jude about Israel and Hammas | played chess while tableing for retreat | rcia | hung out with Sebastián and Gabby at Gabby’s apartment *"
2023-10-11,Oct 11,Wednesday,8:08 PM,okay,work | Milwuakee | Screen Time 3 Hours | lotion | floss | no sugary treats | alcohol | prayer | Spirtual Exercises | tv show,"","PI planning | want to help Ritesh finish migrations on Sprint 3 * | happy hour; hung out with Tyler | got super tired from alcohol | early bedtime "
2023-10-10,Oct 10,Tuesday,10:28 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | run | no sugary treats | prayer | Spiritual Direction | Church group | Conversation with God | gaming | tv show,"","Ran 2 miles and it was cold | decent amount of school work to do | went to all 3 classes | discord messaging Tessa and we had a good convo about Israel and we’re on same side * | retreat planning "
2023-10-09,Oct 9,Monday,9:37 PM,Solid,work | friends | movie | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | chest / core | gym | no sugary treats | alcohol | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming | tv show | Watched Sports,"","PI planning | work was fine | listened to Ben Shapiro talk about terror attack in Israel | videos were horrific and made me emotional | God working in me with this | messaged Tessa and she has family in Israel | watched the movie “Nerve” with her *"
2023-10-08,Oct 8,Sunday,10:07 PM,Solid,friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | Pickle Ball | no sugary treats | alcohol | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming | tv show | Watched Sports,"","Texting Gabby | Pickleball with Maeve Elle Sydney and Annika | watched football most of day | dominoes pizza | nfl picks did pretty good"
2023-10-07,Oct 7,Saturday,10:52 PM,almost Rad,friends | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | biking | Other Sports | mountain dew | Dinner with friends  | church | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming | tv show,"","Bike ride with shopping | it was awesome and grooving to music and it was first cold day | talked with Mom on phone | mass and dinner with Gabby Marco and Gregory | volleyball with Gregory’s group and my friends | it was so much fun and played so well | Gregory and I were always on same team and won almost every game | excited to have a cat"
2023-10-06,Oct 6,Friday,8:00 PM,Solid,work | friends | movie | Milwuakee | < 15 mins on Instagram | Screen Time 7 Hours | lotion | chest / core | gym | no sugary treats | alcohol | church | prayer | Spirtual Exercises | gaming,"","Work | mass at noon with Gabby and signed Sebastián’s birthday card | worked on puzzle for a while | a little Overwatch with Cameron and Joey | watched Cocaine Bear with Jude which was really funny*"
2023-10-05,Oct 5,Thursday,10:25 PM,okay,friends | school | # | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | Advil | run | Dinner with friends  | prayer | Spiritual Direction | Church group | Spirtual Exercises | gaming | Watched Sports,"","Pain at beginning of run but was able to do 400 meter repeats | class at Gesu | take time event was eh | # | rcia was good * | gave pizza to homeless man | puzzle board came and works "
2023-10-04,Oct 4,Wednesday,10:22 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | Advil | biking | alcohol | prayer | Spirtual Exercises | Watched Sports,"","Derek was in office today and there were some funny conversations around office | Derek recommended to get certifications and learn new skills | Brewers game with Jon | went to Jack’s and took the bus | Brewers eliminated "
2023-10-03,Oct 3,Tuesday,10:19 PM,okay,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | run | no sugary treats | prayer | Spiritual Direction | Church group | Clean Mind Day and Night | Spirtual Exercises | gaming,"","Hit knee on bike and couldn’t run past 800 | class at museum | Spiritual direction with Romano | interesting class in Core about white nationalist who converted * | actually and to regression class | tired for retreat planning | talked to Tessa about cats | going to get a cat next summer | dming Jude about marriage | I’m thinking too much about the distant future "
2023-10-02,Oct 2,Monday,10:39 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | biking | chest / core | gym | Log Rolling | no sugary treats | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming | tv show,"","Girl responded back on CM | one message per week from her? | worked on puzzle during work | not enough work for me to do | played online chess | log rolling helped set up | hung out with Maeve"
2023-10-01,Oct 1,Sunday,9:52 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | chest / core | no sugary treats | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming | tv show | Watched Sports,"","Football started early | watched games with Cameron | fantasy teams did amazing | salty about Eagles winning | Onion podcast | puzzle doesn’t fit on table | need an activity to do in free time | didn’t leave apartment today"
2023-09-30,Sep 30,Saturday,11:32 PM,okay,friends | movie | # | Milwuakee | < 15 mins on Instagram | Screen Time 7 Hours | lotion | floss | Advil | biking | church | prayer | Spirtual Exercises | gaming | Watched Sports,"","Bike ride to target and Trader Joe’s | regression homework while watching USC vs Colorado | # | mass | Sara didn’t sit next to me | started puzzle * | watched Crawl with friends on discord * "
2023-09-29,Sep 29,Friday,9:09 PM,okay,work | friends | movie | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | Advil | no sugary treats | alcohol | prayer | Spirtual Exercises | melatonin  | gaming,"","Went to campus min during work | don’t have enough work to do | worked on puzzle with Claire and talked to Penelope a little | Greg didn’t show up for Pickleball | homework in library | watched The Big Short | weird mood; feel like I need a new activity to do to relax"
2023-09-28,Sep 28,Thursday,10:13 PM,good,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | Advil | run | Dinner with friends  | prayer | Confession | Church group | Clean Mind Day and Night | Spirtual Exercises | gaming | Watched Sports,"","MU track open and ran an 11:37 2 mile * | thought I did well on Theo test | confession | puzzle in campus min with Pablo | RCIA was good | Mountain Dew Pitch Black slushie | watched Packer game with Sebastian Jon and Jerome "
2023-09-27,Sep 27,Wednesday,9:54 PM,okay,work | friends | # | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | no sugary treats | alcohol | prayer | Spirtual Exercises | gaming,"","Work at Franklin | nice seeing full team together | ran out of work and was bored | ride with Ritesh and Tyler | # | Theo test | forgot about Ignite and ate dinner | Barbeheimer Ignite talk | I hate trends | Gabby’s birthday went to bar but was just standing around so left early "
2023-09-26,Sep 26,Tuesday,10:12 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Advil | run | prayer | Spiritual Direction | Spirtual Exercises | gaming | tv show,"","Ran on Hank Aaron | online spiritual direction with Romano | hung out a little in campus ministry | ditched regression class | Mary didn’t pass MCAT test so I tried cheering her up with a text message | Visio Davina prayer | retreat leader meeting"
2023-09-25,Sep 25,Monday,10:09 PM,okay,work | friends | Milwuakee | Screen Time 5 Hours | floss | chest / core | gym | Log Rolling | no sugary treats | prayer | Clean Mind Day and Night | Spirtual Exercises | Watched Sports,"","Sent a message 25 year old girl on CM | Boring first half of work | solved Derek’s problem with chat GPT | toured Juneau Village and was underwhelmed | log rolling | hung out with Sara "
2023-09-24,Sep 24,Sunday,9:43 PM,Solid,friends | # | Milwuakee | < 15 mins on Instagram | Screen Time 6 Hours | lotion | floss | biking | chest / core | gym | alcohol | prayer | Spirtual Exercises | gaming | tv show | Watched Sports,"","Felt off after waking up | idea to do a Visio Davina prayer | made it with AI pictures * | gym at NM | watched football with Cameron | Packers won and enjoyed games "
2023-09-23,Sep 23,Saturday,10:15 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | biking | mountain dew | alcohol | church | prayer | Spirtual Exercises | Hallow | gaming | tv show | Watched Sports,"","Bike ride to Trader Joe’s | really want a son | talked to Elle at the brew about data | talked to Jude about his crush situation* | mass with Sara | Norte Dame lost in crushing fashion | felt low"
2023-09-22,Sep 22,Friday,11:35 PM,okay,work | friends | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Advil | no sugary treats | alcohol | church | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming | tv show,"","Work in morning | noon mass with Gabby | knees hurt walking around | did homework in campus ministry and talked to Sophie for a little | tired | got to bars early and prayed a little | dming Jude | red rock bar with Tess Claire K and others | rode the bull, won darts, stood around | wasn’t very fun"
